"","policy_length","temp_band","threshold","pr_recovery","se"
"142",60,"Delta*T==8*'-'*10*degree*C","30",0.296610169491525,0.042048456394181
"143",66,"Delta*T==1*'-'*7*degree*C","30",0.942934782608696,0.0120921258015499
"144",66,"Delta*T==8*'-'*10*degree*C","30",0.280701754385965,0.0420847390215752
"145",72,"Delta*T==1*'-'*7*degree*C","30",0.935483870967742,0.0127374013367871
"146",72,"Delta*T==8*'-'*10*degree*C","30",0.26890756302521,0.0406456593828211
"147",78,"Delta*T==1*'-'*7*degree*C","30",0.931506849315068,0.013221178422825
"148",78,"Delta*T==8*'-'*10*degree*C","30",0.291666666666667,0.0414926923508046
"149",84,"Delta*T==1*'-'*7*degree*C","30",0.948087431693989,0.0115963124859978
"150",84,"Delta*T==8*'-'*10*degree*C","30",0.30952380952381,0.0411847194715446
"151",0,"Delta*T==1*'-'*7*degree*C","36",0.786324786324786,0.0378952804422323
"152",0,"Delta*T==8*'-'*10*degree*C","36",0.222222222222222,0.0979907892986885
"153",6,"Delta*T==1*'-'*7*degree*C","36",0.906914893617021,0.0149840579603514
"154",6,"Delta*T==8*'-'*10*degree*C","36",0.346534653465347,0.0473504302167663
"155",12,"Delta*T==1*'-'*7*degree*C","36",0.914666666666667,0.0144269706273175
"156",12,"Delta*T==8*'-'*10*degree*C","36",0.350515463917526,0.0484453537899889
"157",18,"Delta*T==1*'-'*7*degree*C","36",0.941176470588235,0.0121667691763534
"158",18,"Delta*T==8*'-'*10*degree*C","36",0.287037037037037,0.0435301913539918
"159",24,"Delta*T==1*'-'*7*degree*C","36",0.959785522788204,0.0101724109134412
"160",24,"Delta*T==8*'-'*10*degree*C","36",0.376146788990826,0.0463987881566992
"161",30,"Delta*T==1*'-'*7*degree*C","36",0.968253968253968,0.00901765188620473
"162",30,"Delta*T==8*'-'*10*degree*C","36",0.44954128440367,0.0476468197404562
"163",36,"Delta*T==1*'-'*7*degree*C","36",0.978609625668449,0.00748131830469882
"164",36,"Delta*T==8*'-'*10*degree*C","36",0.403361344537815,0.0449706692713124
"165",42,"Delta*T==1*'-'*7*degree*C","36",0.985915492957746,0.00625426810967444
"166",42,"Delta*T==8*'-'*10*degree*C","36",0.4,0.0478091443733757
"167",48,"Delta*T==1*'-'*7*degree*C","36",0.980769230769231,0.00719831839824646
"168",48,"Delta*T==8*'-'*10*degree*C","36",0.412844036697248,0.0471581214911691
"169",54,"Delta*T==1*'-'*7*degree*C","36",0.978082191780822,0.00766372310214988
"170",54,"Delta*T==8*'-'*10*degree*C","36",0.375,0.0457453159194625
"171",60,"Delta*T==1*'-'*7*degree*C","36",0.972299168975069,0.00863759337722619
"172",60,"Delta*T==8*'-'*10*degree*C","36",0.355932203389831,0.0440766349168388
"173",66,"Delta*T==1*'-'*7*degree*C","36",0.970108695652174,0.00887684675706421
"174",66,"Delta*T==8*'-'*10*degree*C","36",0.385964912280702,0.0455950904144537
"175",72,"Delta*T==1*'-'*7*degree*C","36",0.978494623655914,0.0075210984835252
"176",72,"Delta*T==8*'-'*10*degree*C","36",0.361344537815126,0.0440372896614358
"177",78,"Delta*T==1*'-'*7*degree*C","36",0.964383561643836,0.00970071423369418
"178",78,"Delta*T==8*'-'*10*degree*C","36",0.358333333333333,0.0437731420275374
"179",84,"Delta*T==1*'-'*7*degree*C","36",0.967213114754098,0.00930830544610942
"180",84,"Delta*T==8*'-'*10*degree*C","36",0.357142857142857,0.0426867360476569
